ID,Species,Years,Decade,Detections,Mean occupancy,SD,SD breadth
27,Myrmica scabrinodis,1930-1939,4,16,0.7120541,0.1141034,0.2282068
28,Myrmica schencki,1930-1939,4,4,0.33917,0.1115573,0.2231146
29,Tetramorium caespitum,1930-1939,4,13,0.6948771,0.1343805,0.268761
1,Camponotus herculeanus,1940-1949,5,8,0.07798692,0.03067366,0.06134732
2,Formica cinerea,1940-1949,5,4,0.1621997,0.03221597,0.06443194
3,Formica cunicularia,1940-1949,5,1,0.05416808,0.04660827,0.09321654
4,Formica exsecta,1940-1949,5,2,0.3270268,0.09421522,0.18843044
5,Formica fusca,1940-1949,5,48,0.934424,0.04883333,0.09766666
6,Formica picea,1940-1949,5,7,0.295681,0.09795894,0.19591788
7,Formica polyctena,1940-1949,5,22,0.7498059,0.1482346,0.2964692
8,Formica pratensis,1940-1949,5,14,0.2437605,0.05321382,0.10642764
9,Formica pressilabris,1940-1949,5,10,0.2704987,0.06826446,0.13652892
10,Formica rufa,1940-1949,5,39,0.744434,0.09090613,0.18181226
11,Formica rufibarbis,1940-1949,5,27,0.5777355,0.09300654,0.18601308
12,Formica sanguinea,1940-1949,5,22,0.4199767,0.07068194,0.14136388
13,Formica truncorum,1940-1949,5,15,0.2070553,0.05361179,0.10722358
14,Formica uralensis,1940-1949,5,1,0.056069,0.05261002,0.10522004
15,Formicoxenus nitidulus,1940-1949,5,4,0.2024833,0.08572724,0.17145448
16,Lasius flavus,1940-1949,5,11,0.9274942,0.1048531,0.2097062
17,Lasius fuliginosus,1940-1949,5,15,0.6352386,0.1302399,0.2604798
18,Lasius meridionalis,1940-1949,5,9,0.3822706,0.1317731,0.2635462
19,Lasius niger,1940-1949,5,49,0.9375241,0.06340829,0.12681658
20,Lasius umbratus,1940-1949,5,7,0.3348273,0.108939,0.217878
21,Leptothorax acervorum,1940-1949,5,17,0.8190781,0.1977781,0.3955562
22,Myrmica lobicornis,1940-1949,5,18,0.6950299,0.2223902,0.4447804
23,Myrmica rubra,1940-1949,5,37,0.8679398,0.07902668,0.15805336
24,Myrmica ruginodis,1940-1949,5,33,0.8313096,0.08469318,0.16938636
25,Myrmica rugulosa,1940-1949,5,18,0.3909956,0.08865097,0.17730194
26,Myrmica sabuleti,1940-1949,5,36,0.6971396,0.1349872,0.2699744
27,Myrmica scabrinodis,1940-1949,5,39,0.7097732,0.1022647,0.2045294
28,Myrmica schencki,1940-1949,5,19,0.3663932,0.09712669,0.19425338
29,Tetramorium caespitum,1940-1949,5,14,0.6564997,0.1439488,0.2878976
1,Camponotus herculeanus,1950-1959,6,1,0.06486879,0.03290358,0.06580716
2,Formica cinerea,1950-1959,6,19,0.15136,0.02906077,0.05812154
3,Formica cunicularia,1950-1959,6,1,0.05508784,0.04384152,0.08768304
4,Formica exsecta,1950-1959,6,14,0.3497932,0.07420196,0.14840392
5,Formica fusca,1950-1959,6,48,0.9286074,0.05356328,0.10712656
6,Formica picea,1950-1959,6,8,0.3390593,0.08216351,0.16432702
7,Formica polyctena,1950-1959,6,17,0.3473459,0.1167227,0.2334454
8,Formica pratensis,1950-1959,6,10,0.2179801,0.05050516,0.10101032
9,Formica pressilabris,1950-1959,6,12,0.2813245,0.06379906,0.12759812
10,Formica rufa,1950-1959,6,49,0.7712373,0.08020124,0.16040248
11,Formica rufibarbis,1950-1959,6,49,0.4330073,0.06564614,0.13129228
12,Formica sanguinea,1950-1959,6,21,0.4100537,0.0668251,0.1336502
13,Formica truncorum,1950-1959,6,10,0.1821911,0.04664723,0.09329446
14,Formica uralensis,1950-1959,6,2,0.0752709,0.05915471,0.11830942
15,Formicoxenus nitidulus,1950-1959,6,6,0.1910007,0.07788514,0.15577028
16,Lasius flavus,1950-1959,6,16,0.9342546,0.09256638,0.18513276
17,Lasius fuliginosus,1950-1959,6,19,0.5888774,0.1157021,0.2314042
18,Lasius meridionalis,1950-1959,6,13,0.3499225,0.1184566,0.2369132
19,Lasius niger,1950-1959,6,42,0.8888727,0.1168751,0.2337502
20,Lasius umbratus,1950-1959,6,24,0.3348068,0.08897562,0.17795124
21,Leptothorax acervorum,1950-1959,6,40,0.9472154,0.08130197,0.16260394
22,Myrmica lobicornis,1950-1959,6,9,0.6703353,0.2376593,0.4753186
23,Myrmica rubra,1950-1959,6,44,0.8323375,0.08012092,0.16024184
24,Myrmica ruginodis,1950-1959,6,87,0.80243,0.06204267,0.12408534
25,Myrmica rugulosa,1950-1959,6,20,0.3872741,0.08463799,0.16927598
26,Myrmica sabuleti,1950-1959,6,37,0.6108881,0.1240079,0.2480158
27,Myrmica scabrinodis,1950-1959,6,38,0.7323592,0.08232428,0.16464856
28,Myrmica schencki,1950-1959,6,12,0.2758217,0.09830639,0.19661278
29,Tetramorium caespitum,1950-1959,6,11,0.6882939,0.1412395,0.282479
1,Camponotus herculeanus,1960-1969,7,9,0.08623387,0.02893294,0.05786588
2,Formica cinerea,1960-1969,7,18,0.1601402,0.03145051,0.06290102
3,Formica cunicularia,1960-1969,7,0,0.05755709,0.04685566,0.09371132
4,Formica exsecta,1960-1969,7,22,0.3828127,0.06641105,0.1328221
5,Formica fusca,1960-1969,7,57,0.9357019,0.04595404,0.09190808
6,Formica picea,1960-1969,7,20,0.3882677,0.07766233,0.15532466
7,Formica polyctena,1960-1969,7,7,0.1748945,0.10876,0.21752
8,Formica pratensis,1960-1969,7,11,0.215483,0.05019338,0.10038676
9,Formica pressilabris,1960-1969,7,14,0.2759154,0.064518,0.129036
10,Formica rufa,1960-1969,7,69,0.8074669,0.06580052,0.13160104
11,Formica rufibarbis,1960-1969,7,11,0.3687814,0.09181095,0.1836219
12,Formica sanguinea,1960-1969,7,37,0.4341878,0.06377954,0.12755908
13,Formica truncorum,1960-1969,7,7,0.1703813,0.04940423,0.09880846
14,Formica uralensis,1960-1969,7,32,0.202443,0.05055985,0.1011197
15,Formicoxenus nitidulus,1960-1969,7,10,0.1716831,0.06725765,0.1345153
16,Lasius flavus,1960-1969,7,39,0.9415953,0.08031577,0.16063154
17,Lasius fuliginosus,1960-1969,7,25,0.4852291,0.1092932,0.2185864
18,Lasius meridionalis,1960-1969,7,7,0.2354215,0.1273162,0.2546324
19,Lasius niger,1960-1969,7,57,0.9394068,0.06067962,0.12135924
20,Lasius umbratus,1960-1969,7,14,0.2807679,0.08486934,0.16973868
