origin,detections,visit,Year,tp_year
C. Skøtt,1,"1681969-05-1556.448403, 10.571915",1969,1960-1969
C. Skøtt,1,"1681969-05-1556.449109, 10.578789",1969,1960-1969
C. Skøtt,1,"1681969-05-1556.450392, 10.4999",1969,1960-1969
C. Skøtt,1,"1681969-05-1556.452695, 10.474836",1969,1960-1969
C. Skøtt,1,"1681969-05-1556.454273, 10.477634",1969,1960-1969
C. Skøtt,1,"1681969-05-1556.454303, 10.477195",1969,1960-1969
C. Skøtt,1,"1681969-05-1556.459061, 10.499216",1969,1960-1969
C. Skøtt,1,"1701969-05-1556.430046, 10.826482",1969,1960-1969
C. Skøtt,1,"1701969-05-1556.4320039, 10.8286708",1969,1960-1969
C. Skøtt,2,"1771969-06-0156.3371402, 8.9889169",1969,1960-1969
C. Skøtt,2,"1771969-06-0156.343742, 8.997929",1969,1960-1969
C. Skøtt,1,"1781969-06-0156.317545, 9.03703",1969,1960-1969
C. Skøtt,1,"1781969-06-0156.37768, 9.1512308",1969,1960-1969
C. Skøtt,1,"1781969-06-0156.383544, 9.149086",1969,1960-1969
C. Skøtt,1,"1781969-06-0156.384209, 9.141442",1969,1960-1969
C. Skøtt,1,"1781969-06-0156.386231, 9.120881",1969,1960-1969
C. Skøtt,1,"1781969-06-0156.387057, 9.138861",1969,1960-1969
C. Skøtt,1,"1781969-06-0656.37768, 9.1512308",1969,1960-1969
C. Skøtt,1,"1791969-04-0356.3709, 9.320187",1969,1960-1969
C. Skøtt,1,"1791969-06-0156.332321, 9.2951",1969,1960-1969
C. Skøtt,1,"1791969-06-0156.338495, 9.289782",1969,1960-1969
C. Skøtt,1,"1891969-04-2456.359641, 10.892482",1969,1960-1969
C. Skøtt,1,"2051969-07-0556.223572, 10.586134",1969,1960-1969
C. Skøtt,1,"2181969-05-1556.155416, 9.504584",1969,1960-1969
C. Skøtt,1,"2361969-04-0256.097678, 9.276322",1969,1960-1969
C. Skøtt,1,"2361969-04-0656.09618, 9.27678",1969,1960-1969
C. Skøtt,1,"2361969-07-0856.096264, 9.276997",1969,1960-1969
C. Skøtt,1,"2371969-04-0656.076013, 9.335381",1969,1960-1969
C. Skøtt,1,"2391969-04-2656.068744, 9.696434",1969,1960-1969
C. Skøtt,1,"2541969-04-1955.993059, 8.740899",1969,1960-1969
C. Skøtt,1,"2551969-06-1555.949328, 8.884329",1969,1960-1969
C. Skøtt,2,"2551969-06-1555.950972, 8.887123",1969,1960-1969
C. Skøtt,1,"2551969-06-1555.97339, 8.89939",1969,1960-1969
C. Skøtt,1,"2551969-06-1555.977084, 8.896652",1969,1960-1969
C. Skøtt,1,"2551969-06-1555.995195, 8.914675",1969,1960-1969
C. Skøtt,1,"2591969-04-0656.023995, 9.491623",1969,1960-1969
C. Skøtt,1,"2601969-08-3156.01216, 9.694611",1969,1960-1969
C. Skøtt,1,"271969-05-2557.292253, 10.937313",1969,1960-1969
C. Skøtt,1,"271969-05-2657.289016, 10.975795",1969,1960-1969
C. Skøtt,1,"271969-05-2657.294532, 10.92389",1969,1960-1969
C. Skøtt,1,"281969-05-2557.292963, 11.074086",1969,1960-1969
C. Skøtt,1,"281969-05-2557.304451, 11.138462",1969,1960-1969
C. Skøtt,1,"281969-05-2557.304783, 11.097916",1969,1960-1969
C. Skøtt,1,"281969-05-2557.306086, 11.141807",1969,1960-1969
C. Skøtt,1,"281969-05-2557.307325, 11.08163",1969,1960-1969
C. Skøtt,1,"281969-05-2557.307886, 11.108854",1969,1960-1969
C. Skøtt,1,"281969-05-2557.316832, 11.083799",1969,1960-1969
C. Skøtt,1,"281969-05-2557.318171, 11.126683",1969,1960-1969
C. Skøtt,1,"281969-05-2557.318378, 11.126988",1969,1960-1969
C. Skøtt,1,"281969-05-2657.311165, 11.133906",1969,1960-1969
C. Skøtt,1,"2821969-06-1555.874585, 9.03822",1969,1960-1969
C. Skøtt,1,"2881969-08-3155.880127, 10.059645",1969,1960-1969
C. Skøtt,1,"3091969-07-0655.843765, 9.204943",1969,1960-1969
C. Skøtt,1,"3091969-07-0655.845493, 9.259124",1969,1960-1969
C. Skøtt,1,"3291969-03-2355.730551, 8.171626",1969,1960-1969
C. Skøtt,1,"3291969-08-1755.692328, 8.172963",1969,1960-1969
C. Skøtt,1,"3351969-07-1055.730705, 9.10993",1969,1960-1969
C. Skøtt,1,"3361969-07-0655.740111, 9.229912",1969,1960-1969
C. Skøtt,1,"3581969-03-2355.588881, 8.146568",1969,1960-1969
C. Skøtt,1,"3601969-05-2555.585914, 8.417569",1969,1960-1969
C. Skøtt,1,"3651969-07-0655.663574, 9.192504",1969,1960-1969
C. Skøtt,1,"3651969-07-0655.663688, 9.191543",1969,1960-1969
C. Skøtt,1,"371969-05-2657.265094, 10.90439",1969,1960-1969
C. Skøtt,1,"381969-05-2557.228791, 11.006173",1969,1960-1969
C. Skøtt,1,"381969-05-2557.265262, 11.001197",1969,1960-1969
C. Skøtt,1,"381969-05-2557.267023, 11.043148",1969,1960-1969
C. Skøtt,1,"381969-05-2557.2726, 11.027836",1969,1960-1969
C. Skøtt,1,"381969-05-2657.229723, 11.004117",1969,1960-1969
C. Skøtt,1,"381969-05-2657.237089, 11.017343",1969,1960-1969
C. Skøtt,1,"381969-05-2657.261005, 10.997562",1969,1960-1969
C. Skøtt,1,"3881969-03-2355.505247, 8.258063",1969,1960-1969
C. Skøtt,1,"3881969-03-2355.508055, 8.254623",1969,1960-1969
C. Skøtt,1,"4691969-04-1455.271411, 8.948735",1969,1960-1969
C. Skøtt,2,"4811969-06-1555.233089, 10.766601",1969,1960-1969
C. Skøtt,1,"561969-06-2757.08864, 9.263244",1969,1960-1969
C. Skøtt,1,"621969-05-0257.104878, 10.303001",1969,1960-1969
C. Skøtt,1,"621969-05-0457.026712, 10.306203",1969,1960-1969
C. Skøtt,1,"621969-05-0457.027306, 10.300476",1969,1960-1969
C. Skøtt,1,"621969-05-0457.030152, 10.316288",1969,1960-1969
C. Skøtt,1,"621969-05-0457.030436, 10.250984",1969,1960-1969
C. Skøtt,1,"621969-05-1557.033158, 10.264458",1969,1960-1969
C. Skøtt,1,"621969-08-0357.03414, 10.26548",1969,1960-1969
C. Skøtt,1,"631969-05-0457.041703, 10.326716",1969,1960-1969
C. Skøtt,1,"631969-05-0457.04192, 10.322687",1969,1960-1969
C. Skøtt,1,"641969-07-0256.956096, 8.366048",1969,1960-1969
C. Skøtt,1,"741969-07-2856.94106, 10.010653",1969,1960-1969
C. Skøtt,1,"741969-07-2856.941106, 10.012407",1969,1960-1969
C. Skøtt,1,"751969-05-0257.002246, 10.309667",1969,1960-1969
C. Skøtt,1,"891969-05-0256.839706, 10.227189",1969,1960-1969
C. Skøtt,1,"971969-07-2756.840747, 9.423756",1969,1960-1969
NHM Denmark,1,"1681969-08-0156.473469, 10.571568",1969,1960-1969
NHM Denmark,1,"1771969-06-0156.342192, 8.993918",1969,1960-1969
NHM Denmark,1,"1781969-06-0156.385335, 9.134601",1969,1960-1969
NHM Denmark,1,"2371969-04-0656.049065, 9.461413",1969,1960-1969
NHM Denmark,1,"2371969-06-1556.049065, 9.461413",1969,1960-1969
NHM Denmark,1,"2551969-06-1555.949731, 8.8772",1969,1960-1969
NHM Denmark,2,"2601969-05-1256.01356, 9.696184",1969,1960-1969
NHM Denmark,4,"271969-07-2557.283063, 10.969973",1969,1960-1969
NHM Denmark,1,"281969-05-2557.316832, 11.083798",1969,1960-1969
NHM Denmark,4,"281969-07-1157.316832, 11.083799",1969,1960-1969
NHM Denmark,1,"281969-07-1257.294039, 11.026918",1969,1960-1969
NHM Denmark,1,"281969-07-1257.301977, 11.02769",1969,1960-1969
NHM Denmark,2,"281969-07-1357.316832, 11.083799",1969,1960-1969
NHM Denmark,1,"281969-07-1457.294039, 11.026918",1969,1960-1969
NHM Denmark,2,"281969-07-1657.294039, 11.026918",1969,1960-1969
NHM Denmark,3,"281969-07-1657.316832, 11.083799",1969,1960-1969
NHM Denmark,1,"281969-07-1857.315878, 11.022436",1969,1960-1969
NHM Denmark,6,"281969-07-1857.316832, 11.083799",1969,1960-1969
NHM Denmark,1,"281969-07-2257.289175, 11.075902",1969,1960-1969
NHM Denmark,3,"281969-07-2257.316832, 11.083799",1969,1960-1969
NHM Denmark,1,"281969-07-2457.294039, 11.026918",1969,1960-1969
NHM Denmark,2,"281969-07-2657.294039, 11.026918",1969,1960-1969
NHM Denmark,1,"281969-07-2657.309462, 11.128946",1969,1960-1969
NHM Denmark,1,"281969-07-2657.316832, 11.083799",1969,1960-1969
NHM Denmark,1,"281969-07-2757.294039, 11.026918",1969,1960-1969
NHM Denmark,1,"281969-07-2857.309462, 11.128946",1969,1960-1969
NHM Denmark,1,"2881969-05-1155.892126, 10.050337",1969,1960-1969
NHM Denmark,1,"291969-07-2357.323094, 11.18314",1969,1960-1969
NHM Denmark,1,"2991969-03-1555.902728, 12.241537",1969,1960-1969
NHM Denmark,1,"3281969-09-1655.786534, 12.569818",1969,1960-1969
NHM Denmark,2,"3281969-09-1755.786534, 12.569818",1969,1960-1969
NHM Denmark,1,"3301969-08-1755.687804, 8.225739",1969,1960-1969
NHM Denmark,1,"3641969-07-0655.660746, 9.15665",1969,1960-1969
NHM Denmark,2,"381969-07-2257.252439, 11.053761",1969,1960-1969
NHM Denmark,1,"4931969-08-1555.138767, 8.51383",1969,1960-1969
NHM Denmark,1,"4931969-08-1755.138767, 8.51383",1969,1960-1969
NHM Denmark,1,"4931969-08-1855.138767, 8.51383",1969,1960-1969
NHM Denmark,1,"631969-05-0457.040102, 10.320085",1969,1960-1969
NHM Aarhus,2,"1001970-08-1856.837849, 9.892742",1970,1970-1979
NHM Aarhus,2,"1291970-08-0456.606308, 9.553447",1970,1970-1979
NHM Aarhus,1,"1301970-08-0456.595633, 9.657362",1970,1970-1979
NHM Aarhus,1,"1311970-08-0656.634771, 9.84231",1970,1970-1979
NHM Aarhus,3,"1321970-08-0656.596116, 10.027077",1970,1970-1979
NHM Aarhus,2,"1441970-08-1956.499713, 9.507549",1970,1970-1979
NHM Aarhus,2,"1451970-08-0456.570757, 9.657566",1970,1970-1979
NHM Aarhus,2,"1451970-08-0956.54129, 9.75044",1970,1970-1979
NHM Aarhus,1,"1451970-08-1956.561246, 9.684683",1970,1970-1979
NHM Aarhus,2,"1511970-08-1556.477731, 10.723213",1970,1970-1979
NHM Aarhus,3,"1631970-08-1256.45352, 9.785959",1970,1970-1979
NHM Aarhus,1,"1641970-08-1756.471072, 9.871665",1970,1970-1979
NHM Aarhus,3,"1881970-08-1256.303828, 10.771849",1970,1970-1979
NHM Aarhus,5,"1891970-08-1356.313935, 10.851954",1970,1970-1979
NHM Aarhus,1,"1891970-08-1356.359827, 10.892631",1970,1970-1979
NHM Aarhus,2,"2041970-08-1056.260133, 10.299919",1970,1970-1979
NHM Aarhus,1,"2051970-08-0456.217449, 10.561458",1970,1970-1979
NHM Aarhus,1,"2051970-08-1456.217449, 10.561458",1970,1970-1979
NHM Aarhus,3,"2051970-08-1456.23145, 10.523758",1970,1970-1979
NHM Aarhus,2,"2051970-08-1556.285627, 10.585661",1970,1970-1979
NHM Aarhus,4,"2061970-08-1156.223486, 10.702199",1970,1970-1979
NHM Aarhus,4,"2071970-08-1156.254691, 10.795394",1970,1970-1979
NHM Aarhus,4,"21970-08-0757.666052, 10.41675",1970,1970-1979
NHM Aarhus,1,"2231970-08-1456.17402, 10.407049",1970,1970-1979
NHM Aarhus,3,"2231970-08-1456.190238, 10.394272",1970,1970-1979
NHM Aarhus,1,"311970-08-0757.208826, 9.820154",1970,1970-1979
NHM Aarhus,2,"31970-08-0757.724965, 10.579183",1970,1970-1979
NHM Aarhus,4,"4351970-08-0455.422946, 11.822882",1970,1970-1979
NHM Aarhus,3,"461970-08-0757.160205, 9.734751",1970,1970-1979
NHM Aarhus,4,"971970-08-0656.800306, 9.458753",1970,1970-1979
NHM Aarhus,1,"991970-08-0556.792497, 9.811867",1970,1970-1979
NHM Aarhus,3,"991970-08-0956.792497, 9.811867",1970,1970-1979
C. Skøtt,2,"1001970-05-3156.831518, 9.838463",1970,1970-1979
C. Skøtt,1,"1001970-05-3156.8324854, 9.8387376",1970,1970-1979
C. Skøtt,1,"1001970-08-1856.837871, 9.8927479",1970,1970-1979
C. Skøtt,1,"1091970-06-1456.691297, 8.921696",1970,1970-1979
C. Skøtt,1,"1091970-06-1456.692281, 8.913743",1970,1970-1979
C. Skøtt,1,"1091970-06-1456.692819, 8.919745",1970,1970-1979
C. Skøtt,1,"1101970-06-1456.692456, 9.117519",1970,1970-1979
C. Skøtt,1,"1101970-06-1456.693668, 9.114775",1970,1970-1979
C. Skøtt,1,"1311970-05-3056.649996, 9.977344",1970,1970-1979
C. Skøtt,1,"1311970-08-0656.636853, 9.827894",1970,1970-1979
C. Skøtt,1,"1321970-05-3056.648063, 9.979572",1970,1970-1979
C. Skøtt,2,"1471970-05-3056.562718, 10.044761",1970,1970-1979
C. Skøtt,1,"1581970-06-1456.482879, 8.868691",1970,1970-1979
C. Skøtt,1,"1581970-06-1456.484043, 8.871939",1970,1970-1979
C. Skøtt,1,"1581970-06-2156.479721, 8.876911",1970,1970-1979
C. Skøtt,2,"1581970-06-2156.482196, 8.875054",1970,1970-1979
C. Skøtt,1,"1581970-06-2156.482536, 8.874842",1970,1970-1979
C. Skøtt,1,"1581970-06-2156.483936, 8.871876",1970,1970-1979
C. Skøtt,1,"1581970-08-1156.399907, 8.973081",1970,1970-1979
C. Skøtt,1,"1671970-08-1156.388716, 10.416001",1970,1970-1979
C. Skøtt,1,"1671970-08-1656.388512, 10.416782",1970,1970-1979
C. Skøtt,1,"1761970-08-1156.390284, 8.801626",1970,1970-1979
C. Skøtt,1,"1761970-08-1156.390296, 8.802964",1970,1970-1979
C. Skøtt,1,"1761970-08-1156.390491, 8.801772",1970,1970-1979
C. Skøtt,1,"1761970-10-0856.321236, 8.706911",1970,1970-1979
C. Skøtt,1,"1771970-06-1356.315772, 8.857038",1970,1970-1979
C. Skøtt,1,"1781970-10-0156.384209, 9.141442",1970,1970-1979
C. Skøtt,1,"1781970-10-1156.308337, 9.050972",1970,1970-1979
C. Skøtt,1,"1781970-10-1156.312546, 9.040217",1970,1970-1979
C. Skøtt,1,"1781970-10-1156.314204, 9.042894",1970,1970-1979
C. Skøtt,2,"1781970-10-1156.326005, 9.076637",1970,1970-1979
C. Skøtt,1,"1781970-10-1156.383906, 9.145612",1970,1970-1979
C. Skøtt,1,"1871970-08-1656.38573, 10.478423",1970,1970-1979
C. Skøtt,1,"1881970-08-1456.301542, 10.769942",1970,1970-1979
C. Skøtt,1,"1961970-10-1156.274997, 9.145482",1970,1970-1979
C. Skøtt,1,"2031970-08-0256.224257, 10.221939",1970,1970-1979
C. Skøtt,1,"2131970-08-1956.198783, 8.721532",1970,1970-1979
C. Skøtt,1,"2181970-08-0256.167729, 9.541633",1970,1970-1979
C. Skøtt,1,"21970-08-0757.662053, 10.436376",1970,1970-1979
C. Skøtt,1,"2331970-04-0856.088249, 8.707701",1970,1970-1979
C. Skøtt,1,"2341970-04-1956.071962, 8.919086",1970,1970-1979
C. Skøtt,1,"2351970-04-1956.058175, 9.072433",1970,1970-1979
C. Skøtt,1,"2351970-04-1956.064813, 9.086173",1970,1970-1979
C. Skøtt,1,"2361970-04-1956.070918, 9.280592",1970,1970-1979
C. Skøtt,1,"2361970-04-1956.09832, 9.205012",1970,1970-1979
C. Skøtt,1,"2361970-04-1956.098796, 9.271163",1970,1970-1979
C. Skøtt,1,"2371970-03-0556.087398, 9.391897",1970,1970-1979
C. Skøtt,1,"2371970-04-1956.073515, 9.402685",1970,1970-1979
C. Skøtt,1,"2371970-05-0356.034653, 9.473373",1970,1970-1979
C. Skøtt,1,"2371970-05-0356.040379, 9.470647",1970,1970-1979
C. Skøtt,1,"2371970-05-0356.069348, 9.379696",1970,1970-1979
C. Skøtt,1,"2371970-05-0356.087398, 9.391897",1970,1970-1979
C. Skøtt,1,"2371970-05-0356.089694, 9.407147",1970,1970-1979
C. Skøtt,1,"2371970-05-0356.102855, 9.40964",1970,1970-1979
C. Skøtt,1,"2371970-05-0356.103044, 9.407476",1970,1970-1979
C. Skøtt,2,"2371970-05-0356.10375, 9.407958",1970,1970-1979
C. Skøtt,1,"2371970-05-0356.104677, 9.410995",1970,1970-1979
C. Skøtt,1,"2381970-08-0156.040248, 9.614911",1970,1970-1979
C. Skøtt,1,"2381970-08-0856.037388, 9.486328",1970,1970-1979
C. Skøtt,1,"2391970-05-2056.074078, 9.69787",1970,1970-1979
C. Skøtt,1,"2541970-04-1955.984991, 8.741631",1970,1970-1979
C. Skøtt,1,"2541970-04-1955.99258, 8.741708",1970,1970-1979
C. Skøtt,1,"2541970-04-1955.993623, 8.742359",1970,1970-1979
C. Skøtt,1,"2551970-05-0756.011052, 8.988534",1970,1970-1979
C. Skøtt,1,"2551970-05-0756.014345, 8.990234",1970,1970-1979
C. Skøtt,1,"2561970-05-0756.010226, 9.136916",1970,1970-1979
C. Skøtt,2,"2561970-05-0756.013716, 9.059748",1970,1970-1979
C. Skøtt,1,"2561970-05-0756.014216, 9.060981",1970,1970-1979
C. Skøtt,2,"2561970-05-0756.015084, 9.083803",1970,1970-1979
C. Skøtt,1,"2561970-07-0556.013539, 9.048912",1970,1970-1979
C. Skøtt,1,"2571970-05-0756.004032, 9.173946",1970,1970-1979
C. Skøtt,1,"2571970-05-0756.004358, 9.172631",1970,1970-1979
C. Skøtt,1,"2571970-05-2555.966755, 9.204363",1970,1970-1979
C. Skøtt,1,"2571970-05-2555.968236, 9.220387",1970,1970-1979
C. Skøtt,1,"2571970-05-2555.981601, 9.227491",1970,1970-1979
C. Skøtt,1,"2571970-06-2056.009938, 9.189758",1970,1970-1979
C. Skøtt,1,"2571970-07-0556.01576, 9.178387",1970,1970-1979
C. Skøtt,1,"2571970-08-3156.001355, 9.166485",1970,1970-1979
C. Skøtt,1,"2581970-02-0856.018296, 9.355584",1970,1970-1979
C. Skøtt,1,"2581970-03-0656.030774, 9.480613",1970,1970-1979
C. Skøtt,1,"2581970-05-0356.018285, 9.476473",1970,1970-1979
C. Skøtt,1,"2581970-05-0356.027187, 9.481381",1970,1970-1979
C. Skøtt,1,"2581970-06-1355.9650638, 9.3927797",1970,1970-1979
C. Skøtt,1,"2581970-08-0256.008234, 9.395811",1970,1970-1979
C. Skøtt,1,"2581970-08-0256.01938, 9.376039",1970,1970-1979
C. Skøtt,1,"2591970-05-0255.963926, 9.63926",1970,1970-1979
C. Skøtt,1,"2591970-05-0356.023133, 9.522319",1970,1970-1979
C. Skøtt,1,"2591970-05-0356.023442, 9.491863",1970,1970-1979
C. Skøtt,1,"2591970-08-1055.952618, 9.53759",1970,1970-1979
C. Skøtt,1,"2601970-05-0255.963926, 9.689838",1970,1970-1979
C. Skøtt,1,"2601970-05-0255.966387, 9.708225",1970,1970-1979
C. Skøtt,1,"2601970-05-0255.969069, 9.705026",1970,1970-1979
C. Skøtt,1,"2841970-05-2855.926656, 9.375083",1970,1970-1979
C. Skøtt,1,"2841970-05-2855.93193, 9.365487",1970,1970-1979
C. Skøtt,1,"2851970-06-1355.927733, 9.552678",1970,1970-1979
C. Skøtt,1,"2851970-06-1355.92793, 9.550246",1970,1970-1979
C. Skøtt,1,"2861970-08-1155.925624, 9.766646",1970,1970-1979
C. Skøtt,2,"2871970-05-0955.86433, 9.851929",1970,1970-1979
C. Skøtt,1,"2881970-05-0955.878483, 10.053671",1970,1970-1979
C. Skøtt,1,"2881970-05-0955.879028, 10.05703",1970,1970-1979
C. Skøtt,1,"2881970-05-0955.879289, 10.05817",1970,1970-1979
C. Skøtt,1,"2881970-05-0955.880076, 10.059651",1970,1970-1979
C. Skøtt,1,"2881970-05-2355.892694, 10.004276",1970,1970-1979
C. Skøtt,1,"2881970-09-0555.879106, 10.059241",1970,1970-1979
C. Skøtt,1,"2881970-09-0555.88061, 10.056298",1970,1970-1979
C. Skøtt,1,"2881970-09-0555.893488, 10.04658",1970,1970-1979
C. Skøtt,1,"3061970-04-2455.790007, 8.798918",1970,1970-1979
C. Skøtt,1,"3071970-04-2455.838952, 8.892243",1970,1970-1979
C. Skøtt,1,"3071970-04-2455.840558, 8.933091",1970,1970-1979
C. Skøtt,1,"3081970-04-2455.827867, 9.125666",1970,1970-1979
C. Skøtt,1,"3081970-04-2455.828135, 9.122449",1970,1970-1979
C. Skøtt,1,"3091970-04-2455.844405, 9.237394",1970,1970-1979
C. Skøtt,1,"3141970-07-2655.825943, 10.083425",1970,1970-1979
C. Skøtt,1,"3141970-07-2655.826473, 10.080943",1970,1970-1979
C. Skøtt,1,"3141970-07-2655.82713, 10.078492",1970,1970-1979
C. Skøtt,2,"3141970-07-2655.827882, 10.079907",1970,1970-1979
C. Skøtt,1,"3141970-07-2655.831886, 10.060977",1970,1970-1979
C. Skøtt,1,"31970-07-0857.725004, 10.579186",1970,1970-1979
C. Skøtt,1,"3291970-05-3155.704535, 8.199746",1970,1970-1979
C. Skøtt,1,"3351970-04-2455.719459, 9.043322",1970,1970-1979
C. Skøtt,1,"3351970-04-2455.728635, 9.008719",1970,1970-1979
C. Skøtt,1,"3351970-04-2455.736999, 9.026744",1970,1970-1979
C. Skøtt,1,"3351970-04-2455.740366, 9.028224",1970,1970-1979
C. Skøtt,1,"3351970-04-2455.741219, 9.018036",1970,1970-1979
C. Skøtt,1,"3351970-04-2455.74124, 9.027329",1970,1970-1979
C. Skøtt,1,"3351970-04-2455.741283, 9.022308",1970,1970-1979
C. Skøtt,1,"3381970-04-1055.7081705, 9.5909076",1970,1970-1979
C. Skøtt,1,"3381970-10-0455.7081705, 9.5909076",1970,1970-1979
C. Skøtt,1,"3401970-08-0755.717089, 9.851856",1970,1970-1979
C. Skøtt,1,"3631970-04-2455.659521, 8.878609",1970,1970-1979
C. Skøtt,1,"3631970-10-0455.591758, 8.915113",1970,1970-1979
C. Skøtt,1,"3631970-10-0455.618996, 8.974691",1970,1970-1979
C. Skøtt,1,"3631970-10-0455.631225, 8.997604",1970,1970-1979
C. Skøtt,1,"3631970-10-0455.635974, 8.913719",1970,1970-1979
C. Skøtt,2,"3631970-10-0455.642551, 8.960046",1970,1970-1979
C. Skøtt,2,"3641970-10-0455.625931, 9.019009",1970,1970-1979
C. Skøtt,1,"3641970-10-0455.633146, 9.071335",1970,1970-1979
C. Skøtt,1,"3931970-10-0455.564267, 9.014493",1970,1970-1979
C. Skøtt,1,"3931970-10-0455.565158, 9.018081",1970,1970-1979
C. Skøtt,1,"3931970-10-0455.575156, 9.103966",1970,1970-1979
C. Skøtt,1,"3931970-10-0455.577196, 9.111676",1970,1970-1979
C. Skøtt,1,"3931970-10-0455.577622, 9.111049",1970,1970-1979
C. Skøtt,1,"3931970-10-0455.577874, 9.109788",1970,1970-1979
C. Skøtt,1,"4431970-04-1455.348533, 8.937765",1970,1970-1979
C. Skøtt,1,"4451970-04-2455.3663925, 9.1612623",1970,1970-1979
C. Skøtt,1,"4491970-08-3055.366578, 9.825166",1970,1970-1979
C. Skøtt,1,"4491970-08-3055.367124, 9.830964",1970,1970-1979
C. Skøtt,1,"4491970-08-3055.367492, 9.81987",1970,1970-1979
C. Skøtt,1,"4491970-08-3055.367698, 9.81424",1970,1970-1979
C. Skøtt,1,"4491970-08-3055.368955, 9.823637",1970,1970-1979
C. Skøtt,1,"4501970-07-1955.367462, 10.06723",1970,1970-1979
C. Skøtt,1,"4501970-07-1955.369494, 10.065021",1970,1970-1979
C. Skøtt,1,"4501970-07-1955.370437, 10.0600699",1970,1970-1979
C. Skøtt,1,"4681970-04-1455.315031, 8.819802",1970,1970-1979
C. Skøtt,1,"5041970-08-3055.172205, 10.18611",1970,1970-1979
C. Skøtt,1,"5041970-08-3055.183666, 10.153576",1970,1970-1979
C. Skøtt,1,"5531970-07-1955.016471, 9.420426",1970,1970-1979
C. Skøtt,1,"571970-04-2057.088388, 9.410781",1970,1970-1979
C. Skøtt,1,"641970-05-0256.951646, 8.379056",1970,1970-1979
C. Skøtt,1,"691970-04-0857.004454, 9.282162",1970,1970-1979
C. Skøtt,1,"731970-08-0656.971727, 9.847558",1970,1970-1979
C. Skøtt,1,"861970-05-3156.8742103, 9.8097012",1970,1970-1979
C. Skøtt,1,"871970-05-3156.878942, 9.918401",1970,1970-1979
C. Skøtt,2,"871970-05-3156.883486, 9.919637",1970,1970-1979
C. Skøtt,1,"871970-05-3156.885927, 9.930861",1970,1970-1979
C. Skøtt,1,"871970-05-3156.888379, 9.925838",1970,1970-1979
NHM Denmark,1,"1001970-08-0456.792316, 9.974361",1970,1970-1979
NHM Denmark,1,"1001970-08-0456.801896, 9.93537",1970,1970-1979
NHM Denmark,1,"1001970-08-1456.792316, 9.974361",1970,1970-1979
NHM Denmark,1,"1471970-05-3056.56389, 10.043203",1970,1970-1979
NHM Denmark,1,"1671970-08-1656.392454, 10.415577",1970,1970-1979
NHM Denmark,2,"1781970-10-1156.309886, 9.095324",1970,1970-1979
NHM Denmark,2,"1811970-06-0656.307296, 9.587683",1970,1970-1979
NHM Denmark,1,"2341970-04-1956.090522, 8.908519",1970,1970-1979
NHM Denmark,2,"2371970-05-0356.103378, 9.408586",1970,1970-1979
NHM Denmark,1,"2381970-08-0456.040627, 9.614946",1970,1970-1979
NHM Denmark,1,"2541970-04-1955.993184, 8.74179",1970,1970-1979
NHM Denmark,1,"2571970-05-0756.022296, 9.164827",1970,1970-1979
NHM Denmark,1,"2581970-05-2855.965065, 9.39277",1970,1970-1979
NHM Denmark,1,"2591970-05-0356.022689, 9.526168",1970,1970-1979
NHM Denmark,1,"2651970-07-2955.94957, 10.57559",1970,1970-1979
NHM Denmark,1,"2701970-07-2455.950415, 11.750643",1970,1970-1979
NHM Denmark,1,"281970-05-3057.316832, 11.083799",1970,1970-1979
NHM Denmark,1,"2851970-08-0855.871875, 9.612285",1970,1970-1979
NHM Denmark,1,"2881970-05-0955.892126, 10.050337",1970,1970-1979
NHM Denmark,1,"2881970-05-2355.892126, 10.050337",1970,1970-1979
NHM Denmark,1,"2901970-07-2755.87075, 10.585577",1970,1970-1979
NHM Denmark,1,"2911970-07-2755.906047, 10.601963",1970,1970-1979
NHM Denmark,1,"2911970-08-1355.876956, 10.629347",1970,1970-1979
NHM Denmark,1,"3061970-04-2455.794055, 8.80894",1970,1970-1979
NHM Denmark,1,"3091970-04-2455.84437, 9.237379",1970,1970-1979
NHM Denmark,1,"3281970-05-1255.786534, 12.569818",1970,1970-1979
NHM Denmark,1,"3341970-04-2455.758303, 8.924955",1970,1970-1979
NHM Denmark,2,"3351970-04-2455.741379, 9.017527",1970,1970-1979
NHM Denmark,1,"3401970-08-0755.716866, 9.85207",1970,1970-1979
NHM Denmark,1,"3641970-10-0455.625653, 9.041787",1970,1970-1979
NHM Denmark,1,"5041970-08-3055.183944, 10.153802",1970,1970-1979
NHM Denmark,1,"5461970-06-0455.093061, 14.98088",1970,1970-1979
NHM Denmark,1,"741970-08-0656.985282, 10.010159",1970,1970-1979
NHM Aarhus,1,"1061971-08-0256.751334, 8.419568",1971,1970-1979
NHM Aarhus,1,"1291971-08-0456.606308, 9.553447",1971,1970-1979
NHM Aarhus,1,"1501971-09-2256.505743, 10.587443",1971,1970-1979
NHM Aarhus,3,"1511971-09-2756.477731, 10.723213",1971,1970-1979
NHM Aarhus,1,"1521971-09-2956.473056, 10.911944",1971,1970-1979
NHM Aarhus,2,"1521971-09-2956.502949, 10.827382",1971,1970-1979
NHM Aarhus,1,"1611971-05-2056.410327, 9.358063",1971,1970-1979
NHM Aarhus,1,"1671971-09-2856.456672, 10.427289",1971,1970-1979
NHM Aarhus,2,"1681971-07-3156.433062, 10.464345",1971,1970-1979
